Date,Category,Amount,Note,Income/Expense
01-09-13,maandelijkse vaste lasten,140.00,Zorgverzekering,expense
01-09-13,maandelijkse vaste lasten,250.00,Sparen,expense
01-09-13,maandelijkse vaste lasten,840.00,Hypotheek,expense
31-08-13,Supermarkt,13.55,Condooms,expense
31-08-13,Supermarkt,4.20,Kaartjes,expense
31-08-13,Supermarkt,19.75,,expense
31-08-13,kapper,13.50,,expense
29-08-13,broodje station,8.25,,expense
29-08-13,broodje station,4.75,,expense
29-08-13,Fiets,40.00,Onderhoud trekking-fiets,expense
29-08-13,Supermarkt,5.15,,expense
29-08-13,broodje station,4.40,,expense
29-08-13,maandelijkse vaste lasten,50.00,Ziggo,expense
28-08-13,broodje station,1.75,,expense
28-08-13,broodje station,2.70,,expense
28-08-13,bedrijf,6.00,GitHub,expense
28-08-13,maandelijkse vaste lasten,18.62,Hefpunt,expense
27-08-13,Elektronica,10.00,Spotify,expense
26-08-13,Supermarkt,6.30,,expense
25-08-13,Trein,6.70,,expense
24-08-13,Kleding,17.00,,expense
24-08-13,boeken,9.95,,expense
24-08-13,Uitgaan,22.00,Kaartjes Noorderzon,expense
24-08-13,Eten,1.00,,expense
24-08-13,Supermarkt,6.70,,expense
24-08-13,Supermarkt,6.30,,expense
24-08-13,Uitgaan,13.50,,expense
23-08-13,Uitgaan,10.40,,expense
23-08-13,broodje station,5.90,,expense
23-08-13,Salaris,2100.00,Basissalaris,income